Change,Country,Location,Name,NameWoDiacritics,Subdivision,Status,Function,Date,IATA,Coordinates,Remarks,CoordinatesDecimal,Distance,Source
,ES,CVV,Crispijana,Crispijana,VI,RL,--3-----,1601,,4251N 00244W,,"42.85000,-2.73333",0,UN/LOCODE
,ES,CWC,Calaceite,Calaceite,TE,RL,--3-----,1001,,4101N 00012E,,"41.01667,0.20000",1,UN/LOCODE
,ES,CX4,Camporrobles,Camporrobles,V,RL,--3-----,1407,,3939N 00124W,,"39.65000,-1.40000",0,UN/LOCODE
,ES,CXQ,Coslada,Coslada,,RL,--3-----,9501,,4025N 00333W,,"40.4238020,-3.5552882",N/A (no UN/LOCODE),https://www.openstreetmap.org/relation/345295
,ES,CXY,Miralcamp,Miralcamp,L,RL,--3-----,1601,,4136N 00053E,,"41.60000,0.88333",1,UN/LOCODE
,ES,CY9,Cabanas De Yepes,Cabanas De Yepes,TO,RL,--3-----,1307,,3954N 00332W,,"39.90000,-3.53333",1,UN/LOCODE
,ES,CYC,Calera y Chozas,Calera y Chozas,TO,RL,-23-----,0401,,3953N 00459W,,"39.88333,-4.98333",0,UN/LOCODE
,ES,CYG,Castellet y Gornal,Castellet y Gornal,,RL,--3-----,9806,,4115N 00136E,,"41.2532183,1.5917346",N/A (no UN/LOCODE),https://www.openstreetmap.org/relation/339621
,ES,CYM,Collado Mediano,Collado Mediano,M,RL,--3-----,1001,,4042N 00401W,,"40.70000,-4.01667",1,UN/LOCODE
,ES,CYN,Santa Maria de Cayon,Santa Maria de Cayon,S,RL,--3-----,1001,,4318N 00351W,,"43.30000,-3.85000",1,UN/LOCODE
,ES,CYQ,Coín,Coin,,RL,--3-----,0212,,3640N 00445W,,"36.66667,-4.75000",1,UN/LOCODE
,ES,CYS,Cuacos de Yuste,Cuacos de Yuste,CC,RL,--3-----,1301,,4006N 00543W,,"40.10000,-5.71667",1,UN/LOCODE
,ES,CYV,Castellbell y el Vilar,Castellbell y el Vilar,B,RL,--3-----,0907,,4138N 00152E,,"41.63333,1.86667",0,UN/LOCODE
,ES,CYZ,Collanzo,Collanzo,O,RL,--3-----,1001,,4308N 00534W,,"43.13333,-5.56667",1,UN/LOCODE
,ES,CZA,Cieza,Cieza,,RL,--3-----,9501,,3814N 00125W,,"38.239122,-1.418973",N/A (no UN/LOCODE),http://www.wikidata.org/entity/Q1014709
,ES,CZB,Cabezabellosa,Cabezabellosa,CC,RL,--3-----,1001,,4008N 00600W,,"40.13333,-6.00000",1,UN/LOCODE
,ES,CZC,Calzada de Calatrava,Calzada de Calatrava,CR,RL,--3-----,1001,,3842N 00347W,,"38.70000,-3.78333",1,UN/LOCODE
,ES,CZE,Cómpeta,Competa,,RL,--3-----,0212,,3650N 00359W,,"36.83333,-3.98333",1,UN/LOCODE
,ES,CZL,Cazorla,Cazorla,,RL,--3-----,9501,,3755N 00300W,,"37.9128927,-3.0038873",N/A (no UN/LOCODE),https://www.openstreetmap.org/relation/345293
,ES,CZM,Cizur Menor,Cizur Menor,NA,RL,--3-----,1207,,4247N 00140W,,"42.78333,-1.66667",1,UN/LOCODE
,ES,CZN,Canizares,Canizares,CU,RL,--3-----,1601,,4031N 00211W,,"40.51667,-2.18333",1,UN/LOCODE
,ES,CZQ,Coria,Coria,,RL,--3-----,9501,,3959N 00632W,,"39.9831574,-6.5366803",N/A (no UN/LOCODE),https://www.openstreetmap.org/relation/345936
,ES,CZR,Coria del Río,Coria del Rio,,RL,--3-----,0212,,3717N 00603W,,"37.28333,-6.05000",1,UN/LOCODE
,ES,CZS,Constantina,Constantina,,RL,--3-----,9501,,3753N 00537W,,"37.8775700,-5.6218500",N/A (no UN/LOCODE),https://www.openstreetmap.org/relation/341609
,ES,CZT,Camarzana Tera,Camarzana Tera,,RL,1-------,1001,,4200N 00601W,,"42.00000,-6.01667",1,UN/LOCODE
,ES,CZV,Cabezuella Del Valle,Cabezuella Del Valle,CC,RL,--3-----,0901,,4011N 00548W,,"40.18333,-5.80000",N/A (no Nominatim),UN/LOCODE
,ES,D9P,Perandones,Perandones,LE,RL,--3-----,2001,,4309N 00635W,,"43.1427203,-6.5779873",66,https://www.openstreetmap.org/relation/19632903
,ES,DAC,Mundaca,Mundaca,BI,RL,--3-----,1301,,4325N 00242W,,"43.41667,-2.70000",1,UN/LOCODE
,ES,DAD,Almodóvar del Campo,Almodovar del Campo,CR,RL,--3-----,1307,,3843N 00410W,,"38.71667,-4.16667",1,UN/LOCODE
,ES,DAG,Dos Aguas,Dos Aguas,V,RL,1----6--,1201,,3917N 00048W,,"39.28333,-0.80000",1,UN/LOCODE
,ES,DAR,Vilalba dels Arcs,Vilalba dels Arcs,T,RL,--3-----,1301,,4107N 00024E,,"41.11667,0.40000",1,UN/LOCODE
,ES,DAS,Candás,Candas,O,RL,--3-----,1201,,4335N 00546W,,"43.58333,-5.76667",1,UN/LOCODE
,ES,DAX,Valtiendas,Valtiendas,SG,RL,--3-----,1307,,4129N 00355W,,"41.48333,-3.91667",1,UN/LOCODE
,ES,DBA,Deba,Deba,SS,RL,123-----,0701,,4318N 00221W,,"43.30000,-2.35000",1,UN/LOCODE
,ES,DBI,Zaldibia,Zaldibia,SS,RL,--3-----,1201,,4302N 00208W,,"43.03333,-2.13333",2,UN/LOCODE
,ES,DBJ,Santibañez de Bejar,Santibanez de Bejar,SA,RL,--3-----,1001,,4029N 00536W,,"40.48333,-5.60000",1,UN/LOCODE
,ES,DBO,Playa Den Bossa,Playa Den Bossa,PM,RL,1-------,1607,,3853N 00125E,,"38.88333,1.41667",N/A (no Nominatim),UN/LOCODE
,ES,DBR,Dumbría,Dumbria,C,RL,--3-----,1301,,4300N 00907W,,"43.00000,-9.11667",3,UN/LOCODE
,ES,DBS,Dosbarrios,Dosbarrios,TO,RL,--3-----,1001,,3952N 00329W,,"39.86667,-3.48333",2,UN/LOCODE
,ES,DCL,Alberche del Caudillo,Alberche del Caudillo,TO,RL,--3-----,1601,,3954N 00455W,,"39.90000,-4.91667",2,UN/LOCODE
,ES,DCS,Villagarcía de Campos,Villagarcia de Campos,LE,RL,--3-----,2001,,4147N 00512W,,"41.78333,-5.20000",1,UN/LOCODE
,ES,DD4,Artazu,Artazu,NA,RL,--3-----,1307,,4242N 00150W,,"42.70000,-1.83333",1,UN/LOCODE
,ES,DDD,Valtuille De Abajo,Valtuille De Abajo,LE,RL,--3-----,1307,,4236N 00645W,,"42.60000,-6.75000",1,UN/LOCODE
,ES,DDF,Castillejo de Robledo,Castillejo de Robledo,SO,RL,--3-----,1307,,4133N 00329W,,"41.55000,-3.48333",1,UN/LOCODE
,ES,DDP,Dolores,Dolores,,RL,--3-----,9501,,3808N 00046W,,"38.1392436,-0.7693180",N/A (no UN/LOCODE),https://www.openstreetmap.org/relation/347683
,ES,DEA,Daganzo de Arriba,Daganzo de Arriba,M,RL,--3-----,0401,,4033N 00328W,,"40.55000,-3.46667",1,UN/LOCODE
,ES,DEH,Dehesas,Dehesas,LE,RL,-23-----,1601,,4232N 00641W,,"42.53333,-6.68333",1,UN/LOCODE
,ES,DEJ,Valdetorres de Jarama,Valdetorres de Jarama,M,RL,1-3-----,1401,,4042N 00330W,,"40.70000,-3.50000",1,UN/LOCODE
,ES,DEL,Deltebre,Deltebre,T,RL,--3-----,1301,,4046N 00044E,,"40.76667,0.73333",5,UN/LOCODE
,ES,DEN,Dena,Dena,PO,RL,--3-----,1501,,4227N 00848W,,"42.45000,-8.80000",1,UN/LOCODE
